"","titulo","categoria","precio","comuna","descripcion","link"
"63","Hermosa casa en Monseñor Edwards","Vendo",NA,"La Reina","ambientes: hermosa casa esquina, ideal para familia numerosa. armonía en los ambientes, amplios y luminosos. posee espacio para 3 autos y protecciones en todas las ventanas. la entrada principal es amplia, luminosa, con un panel de vidrios maravilloso y puerta de madera sólida. el hall es luminoso y acogedor, las habitaciones secundarias son amplias y luminosas, y baño es completo. la habitación principal en suite tiene baño con jacuzzi, un gran walk in closet y terraza interior. además cuenta con una amplia bodega y acceso a la piscina. el living comedor es alto, amplio, luminoso y con accesos al patio donde encontramos espacios ideales para reuniones en familia o amistades; terrazas, pasto, arbustos y piscina con reja de seguridad. habitación de servicio con baño. la cocina es perfecta para cocinar en grupo, y que es amplia y con muy buena ventilación e iluminación. logia techada. como leen, es una gran oportunidad de crecer como familia en una casa amplia, segura, luminosa y con todas las facilidades para construir un segundo piso, ya que su cielo es de losa.cuenta con calefacción central a gas, alarma, protección en todas las ventanas, portón eléctrico y riego automático. entorno: barrio residencial tranquilo y seguro. minimarket a 4 minutos, supermercados entre 2 a 5 km de distancia, colegios y servicios médicos para personas y animales entre 300 mts y 4 km de distancia. 170 metros al norte av. francisco bilbao, 800 metros al sur príncipe de gales y a 2 km se encuentra el metro príncipe de gales. punto limpio de providencia a 4,4 km y punto limpio triciclos de príncipe de gales a 3,1 km. ciudad deportiva zamorano a 3 km.excelente oportunidad para desarrollar un lindo proyecto familiar.contáctame, conversemos y logremos tus objetivos.te acompaño para que cumplas tus sueños.","https://www.yapo.cl/region_metropolitana/comprar/hermosa_casa_en_monse_or_edwards_75669573.htm?ca=15_s&oa=75669573&xsp=12"
"64","Asesora del hogar puertas adentro","Ofertas de empleo",NA,"Lo Barnechea","se necesita asesora del hogar puertas adentro para labores generales de la casa, aseo. lavado planchado cuidado de niños mayores de 8 años. cocina.jornada de lunes a viernes, llegando el domingo en la noche.","https://www.yapo.cl/region_metropolitana/ofertas_de_empleo/asesora_del_hogar_puertas_adentro_75650697.htm?ca=15_s&oa=75650697&xsp=13"
"65","Soldador con licencia de conducir","Ofertas de empleo",480000,"San Bernardo","se necesita soldador con licencia de conducir sueldo a pagar $ 480.000 mas imposiciones - comuna de san bernardo","https://www.yapo.cl/region_metropolitana/ofertas_de_empleo/soldador_con_licencia_de_conducir_75621155.htm?ca=15_s&oa=75621155&xsp=14"
"66","Costurera Modista Compostura se busca Lo Barnechea","Ofertas de empleo",NA,"Lo Barnechea","reparadora de ropa busca persona con experiencia en composturas y reparación de ropa para taller ubicado en santiago comuna de lo barnechea. salario en base a comisiones sobre $150.000 semanal, aproximado.contactar a marisol al número +56959059795","https://www.yapo.cl/region_metropolitana/ofertas_de_empleo/costurera_modista_compostura_se_busca_lo_barnechea_75618125.htm?ca=15_s&oa=75618125&xsp=15"
"67","Depto 2D 2B directo dueño Metro Ecuador","Arriendo",330000,"Estación Central","frente a clínica bicentenario a 50 mts metros ecuadordormitorio principal en suite, dormitorio más pequeño caben dos camas una plaza, dos baños completos, cocina separada amoblada, malla en el balcón, espacio para instalar lavadora, todo piso flotante, gastos comunes 60 mil pesos aproximadamente incluye agua caliente.sin estacionamiento ni bodega.mes arriendo + mes de garantíacontrato trabajo vigente e indefinido6 últimas cotizaciones afp6 últimas liquidaciones sueldoinforme dicom arriendocopia cédula identidad vigente ambos ladosaval si no dispone de uno puede tomar seguro de arriendo a su costo.extranjeros visa al día o en tramite con certificado de migraciones.","https://www.yapo.cl/region_metropolitana/arrendar/depto_2d_2b_directo_due_o_metro_ecuador_75275992.htm?ca=15_s&oa=75275992&xsp=16"
"68","Depto 2D 1B METRO STA ISABEL","Vendo",NA,"Providencia","hermoso depto ubicado en piso 11, 45 m2 aprox, con vista oriente. living-comedor, cocina americana, 2 dormitorios/ 1 baño, terraza con hermosa vista a la cordillera de los andes, conexión para lavadora. tiene estacionamiento y bodega. el edificio está equipado con quinchos, lavandería, piscina, gimnasio, estacionamiento de visitas, cámaras de seguridad, conserjería 24/7.esta en excelente estado","https://www.yapo.cl/region_metropolitana/comprar/depto_2d_1b_metro_sta_isabel_74914145.htm?ca=15_s&oa=74914145&xsp=17"
"69","Merced 562 / Bellas Artes / Lastarria","Vendo",NA,"Santiago","10 departamentos en torre c de similares características en distintos pisos, opción de incluir estacionamiento y bodega.dormitorio en suite, estar comedor, cocina americana equipada y conexión a lavadora en baño. a pasos del metro bellas artes (l5) y metro santa lucía (l1).gastos comunes: $ 45.000 aprox.barrio con foco turístico por su variedad de lugares históricos, culturales y gastronómicos. museo de bellas artes, centro cultural gabriela mistral, museo de artes visuales, parque forestal, cerro santa lucía.el condominio cuenta con piscina semi temperada en el ultimo piso, sala de eventos, gimnasios, lavandería, conserjería 24hrs.","https://www.yapo.cl/region_metropolitana/comprar/merced_562___bellas_artes___lastarria_73998752.htm?ca=15_s&oa=73998752&xsp=18"
"70","Depto. full amoblado, Santiago centro","Arriendo de temporada",35000,"Santiago","se arrienda departamento full amoblado con tv cable y terraza con tv de 65 plg en dormitorio y de 50 plg en la sala, muy acogedor.atención no se arrienda por horas por favor no pregunte porque no se le arrendara.el arriendo es por días, con descuento por semanas y mes completo.","https://www.yapo.cl/region_metropolitana/arriendo_temporada/depto__full_amoblado__santiago_centro_75743904.htm?ca=15_s&oa=75743904&xsp=19"
"71","sofá 3 cuerpos","Muebles",NA,"Las Condes","sofá cruz montt de 3 cuerpos, 2.10 cms de largo, 67cms de alto y 80 cms de profundidad. color arena.","https://www.yapo.cl/region_metropolitana/muebles/sof__3_cuerpos_75743902.htm?ca=15_s&oa=75743902&xsp=20"
"72","Cajoneras Color Negro Con Ruedas Excelente Estado","Muebles",50000,"Las Condes","cajonera color negro, con muy poco usodos unidades disponibles. rebajado a $50.000 cada una.- tres cajones con buena capacidad de almacenamiento.- lindo diseño- construcción robusta- fácil desplazamiento por ruedas.","https://www.yapo.cl/region_metropolitana/muebles/cajoneras_color_negro_con_ruedas_excelente_estado_75743901.htm?ca=15_s&oa=75743901&xsp=21"
"73","Metro uchile promo 2d-2b-bod","Arriendo",330000,"Santiago","propiedades alevalse arrienda maravilloso departamento de 2 dormitorios y 2 baños. excelente ubicación a 1 cuadra de alameda y estación de metro uchile (linea 1). vista despejada al norte, piso 8.living comedor, cocina amoblada y equipada con cocina encimera y horno eléctricos. 2 pequeñas terrazas. dormitorio principal en suite, baño con vanitorio de marmol.calefaccion electrica. instalación para lavadora dentro del depto.amplios closets en todo el departamento.piso flotante en living y pasillos, ceramica en baños. cocina con porcelanato. edificio cuenta con salas de eventos, gimnasio, sala de internet, lavanderia, patio interior, acceso controlado las 24 hrs. cámaras de seguridad.dirección: alonso ovalle n° 884, santiago.proyecto de inmobiliaria nahmiasgastos comunes: $ 85.000 aprox.mas consumo de agua calientevalor arriendo depto: primeros 3 meses a $ 330.000, luego a $350.000incluye bodegano incluye estacionamientocontrato a 12 meses.requisitos de arriendo:.- 3 últimas liquidaciones de sueldo.- 12 últimas cotizaciones de afp..- informe dicom platinum.- sueldo igual o superior a 3 veces el valor del arriendo, de lo contrario presentar aval con mismas condiciones..- mes de arriendo + mes de garantía + comisión de corretaje (50% valor arriendo mas iva, una sola vez)extranjeros pueden presentar antecedentes de aval chileno o extranjero residente que cumpla los requisitos para postular. o bien 3 meses de garantía y titulo profesional (solo para venezolanos).visitas de 18 a 20 horas en dias a convenir.para solicitar visita enviar ultima liquidacion de sueldo por whatsapp.contacto y visitas:herman quezadafono fijo 2-29797193solo whatsapp +569 92256261horario de lunes a viernes de 09.00 a 19.00","https://www.yapo.cl/region_metropolitana/arrendar/metro_uchile_promo_2d_2b_bod_75743900.htm?ca=15_s&oa=75743900&xsp=22"
"74","Pieza individual excelente ubicación ñuñoa","Arriendo",2e+05,"Ñuñoa","pieza individual para una persona extranjero, residencia, con cocina y 2 baños compartidos . excelente ubicación frente al metro irarrazabal línea 3 más información solo por whatsap983422643 estacionamiento solo para motos . p","https://www.yapo.cl/region_metropolitana/arrendar/pieza_individual_excelente_ubicaci_n__u_oa_75743898.htm?ca=15_s&oa=75743898&xsp=23"
"75","Chevrolet Optra Station 2012 62.000 Kms 1 Dueña","Autos, camionetas y 4x4",5680000,"La Reina","impecable, solo 62.000 kms, aire, mecánico full, extraordinario estadorecibo vehículo ver en la reina +56997111775","https://www.yapo.cl/region_metropolitana/autos/chevrolet_optra_station_2012_62_000_kms_1_due_a_75743896.htm?ca=15_s&oa=75743896&xsp=24"
"76","Lg 5.1","Audio, TV, video y fotografía",20000,"San Miguel","excelente para escuchar música, ojo no lee los discos, radio sin problemas, también se puede conectar a un blu ray, suena espectacular, muy bien cuidado, vivo en san miguel saludos. ","https://www.yapo.cl/region_metropolitana/television_camaras/lg_5_1_75743895.htm?ca=15_s&oa=75743895&xsp=25"
"77","Revistas Dr. Mortis","Libros y revistas",10000,"Santiago","revistas dr. mortis primera etapa","https://www.yapo.cl/region_metropolitana/libros_revistas/revistas_dr__mortis_75743894.htm?ca=15_s&oa=75743894&xsp=26"
"78","Vestidos, calzas texturizadas y short ","Moda y vestuario",7000,"San Miguel","hermosos vestidos largos standar calzas texturizadas y short colores disponibles gris y negro tallas l y xl (talla pequeña)modo de envío; a domicilio con recargo del delivery según la comuna","https://www.yapo.cl/region_metropolitana/moda-vestuario/vestidos__calzas_texturizadas_y_short__75743889.htm?ca=15_s&oa=75743889&xsp=27"
"79","Departamento a pasos de Municipalidad de Ñuñoa","Arriendo",380000,"Ñuñoa","exelente ubicación a pasos de municipalidad de ñuñoa, metro chile-españa, supermercado unimarc. barrio muy central de la comuna y  muy tranquilo.distribución:departamento, ubicado en segundo piso sin ascensor. tiene  living-comedor amplio y luminoso, dos dormitorios y un baño, terraza ámplia, cocina separada y amoblada. orientación de living y la cocina es oriente, de los dormitorios - poniente.gastos comunes 40 000 pesos que incluyen derecho de uso de agua fria y caliente. estará disponible desde diciembre.contactar a ekaterina, corredora de propiedades.","https://www.yapo.cl/region_metropolitana/arrendar/departamento_a_pasos_de_municipalidad_de__u_oa_75367191.htm?ca=15_s&oa=75367191&xsp=28"
"80","Celular huawei","Computadores y accesorios",140000,"Santiago","vendo o permuto el precio es 150 mil celular huawei mate 10 pro dual sim no tiene detalles 6gb de ram y 128gb de memoria interna procesador kirin 970 gama alta entrego con carcasa cargador lámina de vidrio completa precio con audífonos bluetooth 150 mil y solo aparato 140 nada menos recibo celular en parte de pago o permuto por consola o permuto por celular del mismo valor","https://www.yapo.cl/region_metropolitana/computadores/celular_huawei_75743881.htm?ca=15_s&oa=75743881&xsp=29"
"81","Camion 4x4 freightliner de mantencion","Buses, camiones y furgones",3.5e+07,"Lampa","modelo m2106 se vende con o sin el equipo de mantencion.credito directo leasing y otros.","https://www.yapo.cl/region_metropolitana/camiones_furgones/camion_4x4_freightliner_de_mantencion_75743880.htm?ca=15_s&oa=75743880&xsp=30"
"82","Cámara Canon T7 + Lente 18-55 NUEVA","Audio, TV, video y fotografía",299900,"La Florida","cámara canon t7 con lente 18-55mm nueva con:cargadorbatería correamemoria de 32 gbtapas de cuerpotapas de lentecámara nueva sin disparos.no tengo la caja pero está con bolso.oportunidad!seriedad!!!","https://www.yapo.cl/region_metropolitana/television_camaras/c_mara_canon_t7___lente_18_55_nueva_75743879.htm?ca=15_s&oa=75743879&xsp=31"
"83","casa en Maipú calle Las tinajas 1787","Vendo",48500000,"Maipú","la casa cuenta con 3 dormitorios 2 baños, living, comedor y cocina. primer y segundo piso con cerámica, baño pequeño en dormitorio matrimonial, interesados, llamar +569 66425875, precio conversable. ","https://www.yapo.cl/region_metropolitana/comprar/casa_en_maip__calle_las_tinajas_1787_75743877.htm?ca=15_s&oa=75743877&xsp=32"
"84","Pieza individual","Arriendo",2e+05,"Ñuñoa","pieza amoblada en residencia 2 baños compartidos , todo ordenado , muy buen ambiente .,excelente ubicación frente a la estación de metro irarrazabal línea 3 . incluye : luz , agua, wifi cable , lavadora automática , cocina , nevera. más información solo por whatsap983422643 p ,","https://www.yapo.cl/region_metropolitana/arrendar/pieza_individual_75743876.htm?ca=15_s&oa=75743876&xsp=33"
"85","Metro Ecuador - Calle Radal 66","Arriendo",250000,"Estación Central","departamento 1d1b en radal 66ecofuturo ii amuy moderno. a pasos de metro ecuador. a menos de 10' de santiago centro.ventanas: monolitico metalicococina: encimera vitrocerámicapiso cocina: porcelanato / cerámicapiso baño: porcelanato / cerámicapiso sala de estar: vinilicopiso dormitorio: vinilicoterraza: metalicascubierta cocina: granitocubierta baño: porcelánicochapa: normalconexion lavadora: sialarma: sicampanahorno eléctricovalor $ 250.000se solicita :acreditar renta sobre m$ 650 mil sin dicomse solicita:mes arriendomes de garantíacomision de 125 milinteresados llamar al fono + 56 9 84188841","https://www.yapo.cl/region_metropolitana/arrendar/metro_ecuador___calle_radal_66_75743875.htm?ca=15_s&oa=75743875&xsp=34"
"86","palet","Negocios, maquinaria y construcción",NA,"La Florida","se venden palet ","https://www.yapo.cl/region_metropolitana/negocios_maquinaria_construccion/palet_75743874.htm?ca=15_s&oa=75743874&xsp=35"
"87","Celular HTC Wildfire E","Celulares, teléfonos y accesorios",80000,"Santiago","celular htc wildfire e sin uso.solo la caja fue abierta.","https://www.yapo.cl/region_metropolitana/celulares/celular_htc_wildfire_e_75743873.htm?ca=15_s&oa=75743873&xsp=36"
"88","Pendrive Ironman Rojo 32 GB","Computadores y accesorios",10000,"Santiago","pendrive capacidad 32 gb diseño cabeza de ironman rojo. se ilumina al conectar","https://www.yapo.cl/region_metropolitana/computadores/pendrive_ironman_rojo_32_gb_75743870.htm?ca=15_s&oa=75743870&xsp=37"
"89","Jack daniels","Otros productos",18000,"Puente Alto","750ccconsultas al whatsapp +56964519815","https://www.yapo.cl/region_metropolitana/otros_productos/jack_daniels_75743864.htm?ca=15_s&oa=75743864&xsp=38"
"90","Playstation 4 Pro + 17 juegos + 2 controles","Consolas, videojuegos y accesorios",5e+05,"Maipú","se vende ps4 pro con 2 controles + juegos (algunos limited o gold edition)cable de podercable hdmi 2no trae el cable para cargar los controles pero el de celular funcionala doy probada en mi cada en maipúpuedo hacer cambio por figuras sh figuarts de dragon ball mas dinero","https://www.yapo.cl/region_metropolitana/consolas_videojuegos/playstation_4_pro___17_juegos___2_controles_75743861.htm?ca=15_s&oa=75743861&xsp=39"
"91","Raquetas ","Juguetes",2000,"Recoleta","raquetas badminton ","https://www.yapo.cl/region_metropolitana/juguetes/raquetas__75743859.htm?ca=15_s&oa=75743859&xsp=40"
"92","Fletes y Mudanzas","Servicios",NA,"Santiago","el mejor servicio para ayudarte en tu traslado.realizamos fletes, mudanzas, entrega de encomiendas y mas.dentro y fuera de la region metropolitana.contamos con vehiculos cerrados para mayor seguridad.cotiza con nosotros y obtén los mejores precios del mercado. emitimos facturas y contamos con peonetas si usted lo desea.realizamos empacado de tus cosas.contamos con servicio de armado y desarmado.contactanos +56 9 76932381 +56 9 94412132","https://www.yapo.cl/region_metropolitana/servicios/fletes_y_mudanzas_74959724.htm?ca=15_s&oa=74959724&xsp=41"
"93","Soporte de esponja","Otros artículos del hogar",1500,"Santiago","disponibles soportes de goma para esponja. colores disponibles azul plomo y rosado. ventas a partir de 2 unidades (1.500 la unidad)","https://www.yapo.cl/region_metropolitana/articulos-del-hogar/soporte_de_esponja_75743852.htm?ca=15_s&oa=75743852&xsp=42"
"94","Fundas para sillones 3 cuerpos","Otros artículos del hogar",17000,"Santiago","disponibles fundas para sillón.diseños disponibles solo en 3 cuerpos17.000 cada funda.","https://www.yapo.cl/region_metropolitana/articulos-del-hogar/fundas_para_sillones_3_cuerpos_75743851.htm?ca=15_s&oa=75743851&xsp=43"
"95","Lavadora Mabe 9.5kg 2 meses uso","Electrodomésticos",110000,"Huechuraba","lavadora mabe 9.5kgcarga superior, panel digital, tambor acero inoxidable, 9 programas.dimensiones  91cm x 52cm x 50cmcomprada en diciembre 2019, 2 meses de uso enero y febrero, se vende porque estaba en la casa de la playa y como saben por el covid no se podía ir, ahora la tenemos en santiago. se usó 10 veces. acá ya tenemos otra lavadora por lo tanto no necesitamos dos.funciona bien, lavé ayer en ella si quiere videos enviar whatsapp, prácticamente nueva.costó 200 se vende en 110.entrego en:1. mi casa costado ciudad empresarial, huechuraba.2. envío a domicilio 5.000enviar whatsapp +56935862279 o mensaje por yapo. no llamadas.","https://www.yapo.cl/region_metropolitana/electrodomesticos/lavadora_mabe_9_5kg_2_meses_uso_75743849.htm?ca=15_s&oa=75743849&xsp=44"
"96","Bicicleta Bianchi Realmente Nueva","Bicicletas, ciclismo y accesorios",130000,"Ñuñoa","bicicleta bianchi casi sin uso- se le hizo mantención completa hace una semana(ref valor$35.000)- modelo : city life 26- 6 velocidades- cambio y piñon shimano- parrilla- canasto- neumáticos con banda reflectante- 100% originalvalor comercio $230.000se entrega solo en mi domicilio, la venta es solo en efectivo","https://www.yapo.cl/region_metropolitana/bicicletas_ciclismo/bicicleta_bianchi_realmente_nueva_75743848.htm?ca=15_s&oa=75743848&xsp=45"
"97","Pendrive 32 GB Guitarras","Computadores y accesorios",10000,"Santiago","pendrive diseños guitarras capacidad 32 gb","https://www.yapo.cl/region_metropolitana/computadores/pendrive_32_gb_guitarras_75743847.htm?ca=15_s&oa=75743847&xsp=46"
"98","Pantalón niña","Vestuario futura mamá y niños",NA,"Santiago","foto 1 y 2: calza limonada, talla 4 ($2.000)foto 3 y 4: calza coniglio, talla 3 ($2.000)foto 5 y 6: bombacho tribu, talla 24 meses ($2.000)entregas metro cummings","https://www.yapo.cl/region_metropolitana/vestuario-futura-mama-ninos/pantal_n_ni_a_75743844.htm?ca=15_s&oa=75743844&xsp=47"
"99","Humificador de aromatisador de hogares","Otros artículos del hogar",110000,"La Granja","los permuto por tecnologia interesante son humificador o nebulizador ambientales de aromas por cada uno en $110 mil este mi numero +56944865110","https://www.yapo.cl/region_metropolitana/articulos-del-hogar/humificador_de_aromatisador_de_hogares_75743841.htm?ca=15_s&oa=75743841&xsp=48"
"100","Algebra Baldor","Libros y revistas",20000,"La Florida","libro como nuevo, no rayado","https://www.yapo.cl/region_metropolitana/libros_revistas/algebra_baldor_75743838.htm?ca=15_s&oa=75743838&xsp=49"
"101","Bellos joggers , calzas y cargos","Moda y vestuario",8000,"San Miguel","joggers talla m , l $8.000cargos l/xl $10.000calzas m- xl $7.000conjunto deportivo talla xl $12.000modo de envío, se envia a domicilio con recargo del delivery según la comuna.consulta disponibilidad de colores. fotos referenciales","https://www.yapo.cl/region_metropolitana/moda-vestuario/bellos_joggers___calzas_y_cargos_75743835.htm?ca=15_s&oa=75743835&xsp=0"
"102","Celular Sony Xperia Z5","Celulares, teléfonos y accesorios",1e+05,"Santiago","celular sony xperia z5 sin uso.solo la caja fue abierta.liberado de fábrica.todos los accesorios embalados.hermosa carcasa de regalo.","https://www.yapo.cl/region_metropolitana/celulares/celular_sony_xperia_z5_75743834.htm?ca=15_s&oa=75743834&xsp=1"
"103","Cherry bombón entrega inmediata, ","Juguetes",19990,"Puente Alto","nuevosellado en caja","https://www.yapo.cl/region_metropolitana/juguetes/cherry_bomb_n_entrega_inmediata___75743833.htm?ca=15_s&oa=75743833&xsp=2"
"104","CASA Calle LLanquihue Intersección Pje. Peu…","Vendo",NA,"Talagante","casa de 2 pisos.orientación nor-poniente.cuenta con patio trasero, antejardín.entrada de auto, estacionamiento.construcción clase b - mixta. base primer nivel estructura soportante y entrepiso de hormigón armado, segundo nivel material ligero, paneles de madera revestimiento interno yeso-cartón, revestimiento externo fibrocemento.2 dormitoriosbaño y cocina en primer piso.propiedad cercana a colegios, centro asistencial primaria, supermercado, skatepark (parque octavio leiva), parque balneario tegualda.locomoción colectiva a pocos metros.solicite una visita inspectiva a:(+56) 9 3642 1264felipe pinninghoffescríbanos a:","https://www.yapo.cl/region_metropolitana/comprar/casa_calle_llanquihue_intersecci_n_pje__peu__8230__75743829.htm?ca=15_s&oa=75743829&xsp=3"
"105","Iphone 6 64gb","Celulares, teléfonos y accesorios",130000,"Santiago","excelente estado.todo funcionando, se entrega con cargador original.preguntas al wsp: +56988159100","https://www.yapo.cl/region_metropolitana/celulares/iphone_6_64gb_75743827.htm?ca=15_s&oa=75743827&xsp=4"
"106","Lavadora LG 6.5 kilos","Electrodomésticos",NA,"Pedro Aguirre Cerda","se vende lavadora lg de 6.5 kilos en buenas condiciones con mantecón realizada recientemente entregas en pedro aguirre cerda ","https://www.yapo.cl/region_metropolitana/electrodomesticos/lavadora_lg_6_5_kilos_75743826.htm?ca=15_s&oa=75743826&xsp=5"
"107","Casa/cama perrito de 40×40","Animales y sus accesorios",13000,"Huechuraba","casita/cama perrito 40x40 ideal para razas pequeñas, impecable.","https://www.yapo.cl/region_metropolitana/animales_accesorios/casa_cama_perrito_de_40_40_75743825.htm?ca=15_s&oa=75743825&xsp=6"
"108","Patines para hielo ","Deportes, gimnasia y accesorios",8000,"Recoleta","patines hielo varias tallas ","https://www.yapo.cl/region_metropolitana/deportes_gimnasia/patines_para_hielo__75743820.htm?ca=15_s&oa=75743820&xsp=7"
"109","Nissan versa 2017","Autos, camionetas y 4x4",1.1e+07,"Las Condes","vendo auto taxi negro amarillo con derechos,excellente estado.único dueño.impecable.","https://www.yapo.cl/region_metropolitana/autos/nissan_versa_2017_75743812.htm?ca=15_s&oa=75743812&xsp=8"
"110","Drone DJI Mavic Mini Nuevísimo","Hobbies y outdoor",349000,"Las Condes","se vende por no uso, impecable, 0 raya con su caja.","https://www.yapo.cl/region_metropolitana/hobbies_outdoor/drone_dji_mavic_mini_nuev_simo_75743811.htm?ca=15_s&oa=75743811&xsp=9"
"111","Bebé reborn","Juguetes",180000,"Maipú","vendo muñeca reborn se la compre a mi hija y no le gustó, precio de referencia a 230.000 yo la dejo en 180.000 conversable cualquier consulta o duda hablar a wasap +569 72337782","https://www.yapo.cl/region_metropolitana/juguetes/beb__reborn_75743809.htm?ca=15_s&oa=75743809&xsp=10"
"112","Concertina Galvanizada Diámetro 300 y 450 mm","Servicios",10880,"La Cisterna","concertina galvanizada diámetro 300 y 450 mmcon candadoen rollos de 5 kgrinden de 6 a 8 metrospara contactos y dirección. también disponemos de malla acma y discos de corteconsulte precios por mayor. buscamos distribuidores.","https://www.yapo.cl/region_metropolitana/servicios/concertina_galvanizada_di_metro_300_y_450_mm_75743808.htm?ca=15_s&oa=75743808&xsp=11"
"113","Revistas Dr.Mortis","Libros y revistas",10000,"Santiago","revistas dr. mortis primera etapa","https://www.yapo.cl/region_metropolitana/libros_revistas/revistas_dr_mortis_75743805.htm?ca=15_s&oa=75743805&xsp=12"
"114","Casa en comuna de Pudahuel","Vendo",3.8e+07,"Pudahuel","vendo casa en la comuna de pudahuelpor favor lea bien la descripción, si tiene alguna duda, pregunta o aclaración, no dude en escribirme, las preguntas no me molestan. me daré el tiempo para contestarle, mi ánimo es de total transparencia, con el fin de que el comprador entienda y acepte los términos de la venta con toda la información verídica y comprobable de la propiedad, e información que estoy dispuesto a entregar.1)-. soy el dueño legítimo de la propiedad.2)-. no soy corredor de propiedades.4)-. la propiedad tiene todos sus papeles en regla, inscrita en el conservador de bienes raíces de santiago a mi nombre.7)-. la casa no está tomada.11)-. lo anterior, no entorpece para nada vender legalmente la casa.12)-. con la documentación que tengo, un abogado puede corroborar, en una semana, que la información es legal, correcta y verídica de la casa.13)-. por lo anterior, el precio que solicito y estoy dispuesto a vender implica un valor inferior al comercial. el valor comercial de la casa es de 46 a 52 millones de pesos. precio que se puede corroborar visitando paginas de ventas de casas o preguntando a un corredor de propiedades.14)-. sin duda la casa hay que repararla y recuperarla.15)-. por lo anterior el precio de venta de la casa es de $ 38.000.000    (precio pagadero con vale vista a mi nombre)16)-. estoy consciente de las reparaciones y del juicio en que hay que iniciar, por esto considero en el valor de venta el descuento, por los gastos en que hay que incurrir.20)-. cabe señalar, que el no tener la casa en mi poder, no me impide vender y traspasar la casa en el estado que se encuentra a puertas cerradas en forma legal, y esto da sentido al precio que pido de venta, consciente de los tramites, reparaciones, gastos y juicio en que hay que incurrir.21)-. escucho ofertas, siempre que sean en efectivo pagaderas con un vale vista a mi nombre.23)-. si necesita más información o aclaración no dude en escribirme.","https://www.yapo.cl/region_metropolitana/comprar/casa_en_comuna_de_pudahuel_75208219.htm?ca=15_s&oa=75208219&xsp=13"
"115","Lavavajillas Bosch Sms46ki03e 13 Cubiertos","Electrodomésticos",270000,"Ñuñoa","marca: boschniveles de temperatura: 5panel: digitalmedidas: alto 84,5 cm - ancho 60 cm - profundidad 60 cmcapacidad: 13 cubiertosmaterial: estructura de aceropeso neto: 53kgpotencia: 2400.consumo de energía: 0,85 kw/h.excelente estado!!!se retira en ñuñoa cerca del metro principe de gales.","https://www.yapo.cl/region_metropolitana/electrodomesticos/lavavajillas_bosch_sms46ki03e_13_cubiertos_75743804.htm?ca=15_s&oa=75743804&xsp=14"
"116","Barbie sirenita dreams","Juguetes",15000,"Macul","vendo, nuevas sin caja las 2x$15.000, metro los presidentes envíos por diddi-uber soy de macul","https://www.yapo.cl/region_metropolitana/juguetes/barbie_sirenita_dreams_75743803.htm?ca=15_s&oa=75743803&xsp=15"
"117","Skullcandy Riff wireless audífonos Bluetooth NUEVO","Audio, TV, video y fotografía",37990,"San Miguel","nuevos, remato, audífonos bluetooth wireless (sin cable) marca skullcandy, modelo riff traídos desde eeuu precio mercado: entre 59.000 y 39.990remato a 37.990entregas en metro san miguel o lo vial","https://www.yapo.cl/region_metropolitana/television_camaras/skullcandy_riff_wireless_aud_fonos_bluetooth_nuevo_75743802.htm?ca=15_s&oa=75743802&xsp=16"
"118","Cubot X30 nuevo - 6GB/128GB - Dual sim","Celulares, teléfonos y accesorios",339900,"Las Condes","- el mejor smartphone al mejor precio- 3 o 12 cuotas sin interés.- envío a todo chile incluido.- 2g, 3g, 4g sae certificado en chile- cámara 48 mp + 32 mp (5 cámaras traseras + 1 frontal)- ram 6gb + rom 128gb- pantalla 6,4""   -  display 1080 x 2310- ultra rápida cpu helio p60, 8 core - mejor que la mayoría- android 10- wi-fi 2.4g/5.0g / 802.1.1 a/b/g/n  - bluetooth 4.2- gps / a-gps- usb-c- otg- dual nano simy mucho más","https://www.yapo.cl/region_metropolitana/celulares/cubot_x30_nuevo___6gb_128gb___dual_sim_75727345.htm?ca=15_s&oa=75727345&xsp=17"
"119","Moderno Depto. frente a Parque Araucano","Arriendo",4e+05,"Las Condes","moderno depto. con preciosa vista al parque araucano, excelente estado, seguridad 24/7, piscina temperada, gym, áreas verdes. renta rebajada x 2 meses, resto del periodo 485.000.-","https://www.yapo.cl/region_metropolitana/arrendar/moderno_depto__frente_a_parque_araucano_75688930.htm?ca=15_s&oa=75688930&xsp=18"
"120","Se hacen fletes - Precios razonables","Servicios",NA,"Santiago","incluye a todas las comunas de santiago y regiones. fletes todos los días.los mejores servicios de fletes y mudanzas lo encontraras acá. seguridad, confianza y economía. todo lo que necesitas en un sólo lugar.nuestro servicio es ideal para cambio y/o arriendo de casa, departamento, pieza, bodegas, oficinas, empresas, etc. contamos con yegua de carga para facilitar el traslado y ayudante si lo requiere.precios fluctuan según la distancia y cosas a trasladar-seguridad-compromiso-puntualidad-orden","https://www.yapo.cl/region_metropolitana/servicios/se_hacen_fletes___precios_razonables_75680130.htm?ca=15_s&oa=75680130&xsp=19"
"121","Alcohol gel 5litros certificado","Salud y belleza",NA,"Santiago","alcohol gel 5 litros certificado safepro $14500 +iva mayoristas con factura contactar vía llamada o whatsapp a axel al +56954131900 también tenemos formatos de 1litro y 320ml con dosificador vende jym spa. despachamos en santiago gratis por compras sobre 4 bidones","https://www.yapo.cl/region_metropolitana/salud-belleza/alcohol_gel_5litros_certificado_71812173.htm?ca=15_s&oa=71812173&xsp=20"
